text,label
"हमारे गांव में एक मास्टर जी रहते थे वो मोहल्ले के बच्चों को अपने स्कूल आने को कहते थे। जब मैं बड़ा हुआ तो पता चला स्कूल मास्टर के बेटे का बस उनके भतीजे की कैंटीन उनके भांजे की और  पढ़ाने वाले भी सब उनके रिश्तेदार ही थे 

आज मास्टर जी में सरकार में मंत्री हैं 

ाक्ष",1
"dil hi saaf rakhlo 
shakal ka to vaise bhi kuchh nahi kar sakte 
     ",1
"घोड़ो को ना मिली घास और गधे खा रहे चवनप्रास
 
 ",1
"पिछली सरकार के 10 साल के कार्यकाल  में 171 जवान शहीद

मोदी सरकार के 6 साल के कार्यकाल में 1867 जवान शहीद

अब भी देश सुरक्षित हाँथों में है

voiceles

ाक्ष",1
"akele aaye the akele hi jayengy ye kahawat ab to galat hogyi hai 
ab to jo jo sampark me aayngy vo log sab jyngy
   ",1
"ajitanjum देश का वफादार ही राष्ट्र भक्त हैं
भाजपाकांग्रेस का वफादार राष्ट्र भक्त नही हो सकता
ाक्ष",1
"देश का वफादार ही राष्ट्र भक्त हैं
भाजपाकांग्रेस का वफादार राष्ट्र भक्त नही हो सकता voiceles
ाक्ष",1
"ye baarish ke baad macharo ka aana zaroori hai kya

             ",1
"आज  भी सुबक सुबक कर रोने लगी जब एक पार्टी विशेष ने vocalforlocal सम्मेलन zoom पर करवाया ।
",1
zyadahorahahai patiparmeshwar hota hai ,1
"ginti vs numbers  kya tum bhi english medium wale ho jiski ginti 30 ke agee nahi jaa rahi
instagupshupqueen
      
  ",1
"when guddu bhaiya says 
middle class aadmi aadmi nhi chutiya hota hai chutiya
chahe bhenchod tum me kitna bhi talent ho yahi paida hoke yahi nipat jaoge 
                                                                                       i felt that   

 ",1
"भारत में हर 10 में 8 व्यक्ति जन्म से ही न्यायाधीश होता है फिर भी हमारी न्यायपालिका इतनी कमज़ोर क्यों है
ाक्ष",1
"aaj kaa sach 
              ",1
"hand sanitize krte krte 
haathon ki lakeeren hi mit rahi hain 

  ",1
"जवाब देने के लिए शुक्रिया। आज के युग में 
कानून की जानकारी बेहद अहम हैताकि कोई आपको बेवजह परेशान ना करे।    ",1
rashmibajpayee suryapsinghias madam ji isko  bolte hain aur hum jo kahna chahte the sir suryapsinghias samjah gaye  baki smjh smjh ki baat hai koi meri baat ko positively smjhe koi negatively ,1
bhai usko  bolte hain dictionary khol aur matlab dekh aur chal maanliya galat hai tu sahi bata de challenge you dograjournalist ,1
ajitkasthana republic ani  नरेंद्र मोदी जी भारत के शत्रुओं पर आक्रमण करने के लिए सभी संसाधनों को जुटा रहे हैं लेकिन विडंबना देखिए पूरी वाड्रा कांग्रेस मोदी जी पर आक्रमण कर रही है। मनमोहन सिंह कह रहे हैं हम चीनी जनवादी प्रजातंत्र और पाकिस्तान से एक साथ लड़ेेंगे। कांग्रेस एकजुट नहीं है।,1
rahulgandhi इनके प्रधानमंत्री रहते कभी तुम ने इनकी बात मानीजो आज मोदी जी को नसीहत देने आए इनकी बात मानने के लिए  ,1
"agar tumhe aisa lage ki log tumse dur jaa rahe hai 
                                                                                 to gaand pe do laat marke bhgao 

 ",1
"ाक्ष  अगर  कि सरकार होती तो ेट्रोल 35 और ीजल 30 रूपये लीटर मिलता 
rahulgandhi hansrajmeena priyankagandhi nareshbagdink yogrishiramdev ",1
ाक्ष  अगर  कि सरकार होती तो ेट्रोल 35 और ीजल 30 रूपये लीटर मिलता  ,1
"eshitasingh sanjayazadsln बहोत अच्छी बात है
वैसे एक और जगह है जहाँ सब गुनाह माफ़ हो जाती हैं भारतीय जनता पार्टी
",1
"har baat pe rulate ho 
insaan ho ya pyaaz 
     ",1
"शिक्षा में क्रांति करने के बाद जैसे ही क्रांतिवीर मनीष सिसोदिया ने दिल्ली के स्वास्थ्य मंत्रालय का कार्यभार संभाला

3137 कोरोना संक्रमितों का नया कीर्तिमान और कोरोना मामलों का अर्धशतक 53116 बना बैठे
ाक्ष     ",1
" 
भक्त झूठ के कपाल पे सत्य का प्रहार हूँ हाँ मैं भी चौकीदार हूँ

ग़ुलाम डूबती नांव का मैं तो एक चप्पू हूँ गौर से देखो दोस्तों मुझे मैं भी एक पप्पू हूँ

 vs 
 vs ",1
"jinhe asal zindigi mein kabz ki bimaari hai vo social media par hugg  rhe hain 
",1
"uski daal gal bhi jaegi or pakk bhi jaegi tum bas sitti k bajne ka wait karte rhna

",1
"she  ek baat puchu sachi baatao gai
me  haan pucho lo
she  tum mere siva kisi aur se pyaar toh nai karte na
me  nahi
she  saachi baatao
me                 ",1
"i called my friend who follows mayan calender 
me bhai vo 21st jun aagaya kuch huva nahee abheetak

friend din abhitak khatam nahee huva haiummid pe duniya kaayam hai

  ",1
